Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),표명일,36:28,8,0/1,0.0,2/3,66.7,2/4,50.0,2/2,100.0,0,1,1,0,12,1,0,0,2,0,0
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),김진호,3:32,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),김주성,38:4,25,9/15,60.0,1/1,100.0,10/16,62.5,4/4,100.0,3,4,7,1,1,2,1,1,4,0,8
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),변청운,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),이세범,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),강대협,6:30,0,0/1,0.0,0/1,0.0,0/2,0.0,0/0,0,0,0,0,0,0,1,0,0,0,0,0
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),손준영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),손규완,14:45,3,1/3,33.3,0/1,0.0,1/4,25.0,1/1,100.0,0,0,0,0,0,1,0,0,2,0,0
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),이광재,31:10,12,1/2,50.0,3/5,60.0,4/7,57.1,1/2,50.0,0,3,3,0,0,1,0,0,3,0,1
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),레지 오코사,32:25,18,8/10,80.0,0/0,0,8/10,80.0,2/3,66.7,0,7,7,0,4,0,3,0,4,0,8
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),웬델 화이트,27:35,24,10/15,66.7,0/1,0.0,10/16,62.5,4/5,80.0,2,5,7,1,4,4,1,1,2,0,9
원주 동부 프로미,안양 KT&G 카이츠,2008.10.31 (금),윤호영,9:31,4,2/2,100.0,0/1,0.0,2/3,66.7,0/0,0,0,0,0,0,0,0,2,0,1,0,1
안양 KT&G 카이츠,원주 동부 프로미,2008.10.31 (금),주희정,40:0,16,4/9,44.4,1/6,16.7,5/15,33.3,5/6,83.3,1,3,4,0,8,1,1,0,1,0,4
안양 KT&G 카이츠,원주 동부 프로미,2008.10.31 (금),옥범준,2:15,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
안양 KT&G 카이츠,원주 동부 프로미,2008.10.31 (금),이현호,16:18,3,0/1,0.0,1/2,50.0,1/3,33.3,0/0,0,1,0,1,0,1,0,0,0,2,0,0
안양 KT&G 카이츠,원주 동부 프로미,2008.10.31 (금),은희석,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KT&G 카이츠,원주 동부 프로미,2008.10.31 (금),전병석,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
안양 KT&G 카이츠,원주 동부 프로미,2008.10.31 (금),황진원,10:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,2,1,0,0,1,0,0
안양 KT&G 카이츠,원주 동부 프로미,2008.10.31 (금),김일두,20:0,8,2/4,50.0,1/5,20.0,3/9,33.3,1/1,100.0,0,1,1,0,1,3,0,0,3,0,1
