Team,Opponent,Date,Name,MIN,Pts,2PT M/A,2PT %,3PT M/A,3PT %,FG M/A,FG %,FT M/A,FT %,OR,DR,TOT,DK,AST,TO,Stl,BS,PF,FO,PP
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),양동근,28:27,19,5/7,71.4,2/3,66.7,7/10,70.0,3/3,100.0,0,3,3,0,5,2,1,0,1,0,1
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),김효범,21:28,5,1/1,100.0,1/3,33.3,2/4,50.0,0/0,0,0,1,1,0,1,1,1,0,1,0,0
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),함지훈,31:54,14,4/5,80.0,0/1,0.0,4/6,66.7,6/6,100.0,4,2,6,0,1,3,2,3,1,0,3
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),박구영,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),허버트 힐,12:47,4,2/4,50.0,0/0,0,2/4,50.0,0/0,0,1,2,3,0,0,1,0,1,3,0,2
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),김동량,1:23,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),전준범,20:39,3,0/3,0.0,1/3,33.3,1/6,16.7,0/0,0,0,1,1,0,0,1,1,0,1,0,0
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),이대성,12:46,4,2/3,66.7,0/5,0.0,2/8,25.0,0/0,0,0,2,2,0,1,0,1,0,2,0,2
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),김수찬,4:17,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,1,0,0,1,0,0
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),네이트 밀러,34:38,19,6/14,42.9,2/2,100.0,8/16,50.0,1/1,100.0,6,4,10,0,6,5,2,0,4,0,4
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),이종현,30:7,7,3/7,42.9,0/0,0,3/7,42.9,1/6,16.7,3,7,10,0,1,2,1,1,1,0,2
울산 모비스 피버스,원주 동부 프로미,2017.03.30 (목),김광철,1:34,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),김주성,20:23,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,2,1,3,0,1,1,0,0,2,0,1
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),박지현,3:46,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,1,0,1,0,0,0,0
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),한정원,1:23,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,1,0,0,0,0,0,0
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),이지운,2:53,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,0,1,1,0,0,0,1,0,0,0,0
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),로드 벤슨,28:36,16,8/15,53.3,0/0,0,8/15,53.3,0/2,0.0,7,5,12,2,2,5,1,0,2,0,8
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),김현호,4:30,0,0/2,0.0,0/0,0,0/2,0.0,0/0,0,0,1,1,0,0,0,0,0,0,0,0
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),박병우,9:19,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,0,0,0,0,0,2,0,0,2,0,1
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),서민수,5:3,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,1,0,0,0,0
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),두경민,28:43,9,3/6,50.0,1/4,25.0,4/10,40.0,0/0,0,0,0,0,0,1,4,1,0,4,0,1
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),김창모,30:18,0,0/1,0.0,0/0,0,0/1,0.0,0/0,0,0,4,4,0,1,0,1,0,3,0,0
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),웬델 맥키네스,31:24,24,11/22,50.0,0/1,0.0,11/23,47.8,2/5,40.0,7,2,9,0,2,0,3,0,1,0,11
원주 동부 프로미,울산 모비스 피버스,2017.03.30 (목),허웅,33:42,6,3/7,42.9,0/5,0.0,3/12,25.0,0/0,0,2,0,2,0,0,2,1,0,3,0,2
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),주희정,22:14,6,0/1,0.0,2/4,50.0,2/5,40.0,0/0,0,0,3,3,0,7,0,0,0,2,0,0
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),이시준,4:51,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,1,1,0,1,0,0,0,0,0,0
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),김태술,17:46,2,1/3,33.3,0/0,0,1/3,33.3,0/0,0,0,1,1,0,2,2,0,0,3,0,1
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),문태영,28:37,22,8/13,61.5,2/2,100.0,10/15,66.7,0/0,0,1,1,2,1,1,2,0,0,1,0,5
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),김태형,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),이관희,10:29,5,2/5,40.0,0/1,0.0,2/6,33.3,1/2,50.0,2,1,3,0,0,2,1,0,1,0,2
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),리카르도 라틀리프,37:20,22,10/14,71.4,0/0,0,10/14,71.4,2/2,100.0,3,15,18,1,2,2,0,0,1,0,9
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),임동섭,34:7,16,2/4,50.0,4/6,66.7,6/10,60.0,0/0,0,1,1,2,0,1,3,1,0,5,0,2
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),이동엽,0:34,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,1,0,0,0,0,0,0
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),김준일,20:0,2,1/2,50.0,0/0,0,1/2,50.0,0/0,0,2,3,5,0,3,2,0,1,1,0,0
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),마이클 크레익,22:40,14,6/11,54.5,0/3,0.0,6/14,42.9,2/4,50.0,1,4,5,3,5,1,1,0,0,0,6
서울 삼성 썬더스,인천 전자랜드 엘리펀츠,2017.03.31 (금),천기범,1:22,0,0/0,0,0/0,0,0/0,0,0/0,0,0,1,1,0,0,1,0,0,4,0,0
인천 전자랜드 엘리펀츠,서울 삼성 썬더스,2017.03.31 (금),정영삼,18:0,2,1/2,50.0,0/3,0.0,1/5,20.0,0/0,0,0,0,0,0,3,2,4,0,2,0,1
인천 전자랜드 엘리펀츠,서울 삼성 썬더스,2017.03.31 (금),정병국,8:8,0,0/3,0.0,0/1,0.0,0/4,0.0,0/0,0,0,1,1,0,0,0,0,0,2,0,0
인천 전자랜드 엘리펀츠,서울 삼성 썬더스,2017.03.31 (금),박성진,0:0,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,서울 삼성 썬더스,2017.03.31 (금),박찬희,21:26,8,3/6,50.0,0/3,0.0,3/9,33.3,2/2,100.0,0,1,1,0,3,0,0,0,1,0,3
인천 전자랜드 엘리펀츠,서울 삼성 썬더스,2017.03.31 (금),차바위,4:31,0,0/0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0
인천 전자랜드 엘리펀츠,서울 삼성 썬더스,2017.03.31 (금),김지완,27:55,11,4/5,80.0,1/3,33.3,5/8,62.5,0/1,0.0,0,1,1,0,5,2,0,0,1,0,2
인천 전자랜드 엘리펀츠,서울 삼성 썬더스,2017.03.31 (금),김상규,3:30,0,0/0,0,0/1,0.0,0/1,0.0,0/0,0,0,0,0,0,0,0,0,0,2,0,0
